,0
0,Category:Archaeological artefact types
1,Category:Ancient pottery
2,Category:Ancient Greek pottery
3,Category:Amphorae
4,Category:Panathenaic amphorae
5,Category:Ancient Greek pot shapes
6,Category:Ancient Greek potters
7,Category:Ancient Greek vase painters
8,Category:Attic pottery
9,Category:Ancient Greek pottery figurines
10,Category:Scholars of ancient Greek pottery
11,Category:Ancient Greek vase-painting styles
12,Category:Ancient Greek vases
13,Category:Individual ancient Greek vases
14,Category:Ancient Greek vase painting
15,Category:Ancient Roman pottery
16,Category:Romano-British pottery
17,Category:Etruscan ceramics
18,Category:Illyrian pottery
19,Category:Linear Pottery culture
20,Category:Minoan vase painting
21,Category:Pre-Columbian pottery
22,Category:Archaeological palettes
23,Category:Ancient Egyptian palettes
24,Category:Clay tablets
25,Category:Amarna letters
26,"Category:Kingdoms (Great Kings), countries, & regions Amarna letters"
27,Category:Alashiya (Cypress) Amarna letters
28,Category:Assyria (Ashur-uballit I) Amarna letters
29,Category:Mitanni (King Tushratta) Amarna letters
30,Category:Vassal city-state & miscellaneous Amarna letters
31,Category:Abimilku letters (island Tyre/Ṣurru)
32,Category:Ayyab of Ashtartu letter to Pharaoh (EA 364)
33,Category:Aziru (from Amurru kingdom) Amarna letters sub-corpus
34,Category:City-state Amarna letters to Pharaoh (cities Irqata & Tunip)
35,Category:Endaruta of Achshaph (Akšapa) Amarna letters
36,Category:Jerusalem letters
37,Category:Labaya of Shechem (Šakmu) Amarna letters
38,Category:Milkilu of Gezer Amarna letters
39,Category:Rib-Hadda letters
40,Category:Yapahu of Gazru Amarna letters
41,Category:Yidya of Ašqaluna (Ashkelon) Amarna letters
42,"Category:Cuneiform signs, Amarna letters"
43,Category:Amarna greeting letters
44,Category:Amarna letters locations
45,Category:Amarna letters officials
46,Category:Amarna letters writers
47,Category:Enûma Eliš
48,Category:Epic of Gilgamesh
49,Category:Curse tablets
50,Category:Egyptian artefact types
51,Category:Assyrian stelas
52,Category:Decorative maceheads
53,Category:Mummies
54,Category:Ancient Egyptian mummies
55,Category:Bog bodies
56,Category:Guanche mummies
57,Category:Mummies in fiction
58,Category:Fictional mummies
59,Category:Mummy films
60,Category:The Mummy (franchise)
61,Category:The Scorpion King films
62,Category:Tarim mummies
63,Category:Ostracon
64,Category:Egyptian papyri
65,Category:Amherst papyri
66,Category:Egyptian papyri containing images
67,Category:Oxyrhynchus papyri
68,Category:Oxyrhynchus papyri vol. I
69,Category:Oxyrhynchus papyri vol. II
70,Category:Oxyrhynchus papyri vol. III
71,Category:Oxyrhynchus papyri vol. IV
72,Category:Oxyrhynchus papyri vol. V
73,Category:Oxyrhynchus papyri vol. VI
74,Category:Oxyrhynchus papyri vol. VII
75,Category:Oxyrhynchus papyri vol. VIII
76,Category:Oxyrhynchus papyri vol. IX
77,Category:Oxyrhynchus papyri vol. X
78,Category:Oxyrhynchus papyri vol. XI
79,Category:Oxyrhynchus papyri vol. XII
80,Category:Oxyrhynchus papyri vol. XIII
81,Category:Oxyrhynchus papyri vol. XV
82,Category:Oxyrhynchus papyri vol. XVIII
83,Category:Oxyrhynchus papyri vol. XXII
84,Category:Oxyrhynchus papyri vol. XXIV
85,Category:Oxyrhynchus papyri vol. XXXIV
86,Category:Oxyrhynchus papyri vol. XLI
87,Category:Oxyrhynchus papyri vol. XLII
88,Category:Oxyrhynchus papyri vol. L
89,Category:Oxyrhynchus papyri vol. LVIII
90,Category:Oxyrhynchus papyri vol. LXIV
91,Category:Oxyrhynchus papyri vol. LXV
92,Category:Oxyrhynchus papyri vol. LXVI
93,Category:Oxyrhynchus papyri vol. LXXI
94,Category:Oxyrhynchus papyri vol. LXXII
95,Category:Oxyrhynchus papyri vol. LXXIII
96,Category:Oxyrhynchus papyri vol. LXXIV
97,Category:Oxyrhynchus papyri vol. LXXVII
98,Category:Ancient Egyptian stelas
99,Category:Human remains (archaeological)
100,Category:Historical people who were forensically reconstructed
101,Category:Homo fossils
102,Category:Homo erectus fossils
103,Category:Homo ergaster fossils
104,Category:Homo habilis fossils
105,Category:Homo heidelbergensis fossils
106,Category:Homo sapiens fossils
107,Category:Mesolithic Homo sapiens fossils
108,Category:Upper Paleolithic Homo sapiens fossils
109,Category:Oldest human remains in the Americas
110,Category:Neanderthal fossils
111,Category:Pompeii (ancient city)
112,Category:People from Pompeii (ancient city)
113,Category:Poppaea Sabina
114,Category:Cultural depictions of Poppaea Sabina
115,Category:Pompeii in popular culture
116,Category:Films based on The Last Days of Pompeii
117,Category:Temples of Pompeii
118,Category:Villas of Pompeii
119,Category:Lithics
120,Category:Hardstone carving
121,Category:Crystal skull
122,Category:Engraved gem artists
123,Category:Fabergé eggs
124,Category:Fabergé eggs of the Royal Collection of the United Kingdom
125,Category:Imperial Fabergé eggs
126,Category:Kelch Fabergé eggs
127,Category:Lost Fabergé eggs
128,Category:Fabergé workmasters
129,Category:Gemstone cutting
130,Category:Diamond cutting
131,Category:Individual hardstone carvings
132,Category:Roman Empire cameos
133,Category:Jade
134,Category:Projectile points
135,Category:Prehistoric art
136,Category:Art of the Upper Paleolithic
137,Category:Rock art of the Iberian Mediterranean Basin
138,Category:Venus figurines
139,Category:Venus of Willendorf
140,Category:Australian Aboriginal art
141,Category:Australian Aboriginal artists
142,Category:Rock art in Australia
143,Category:Prehistoric objects in the British Museum
144,Category:Bronze Age art
145,Category:Bronze Age gold hats
146,Category:Aegean art of the Bronze Age
147,Category:Cycladic art
148,Category:Minoan art
149,Category:Minoan frescos
150,Category:Mycenaean art
151,Category:Shang dynasty bronzeware
152,Category:Torcs
153,Category:Treasure troves of Bronze Age Britain
154,Category:Cave paintings
155,Category:Caves containing pictograms
156,Category:Caves containing pictograms in France
157,Category:Caves containing pictograms in India
158,Category:Caves containing pictograms in Spain
159,Category:Works about cave paintings
160,Category:Celtic art
161,Category:Celtic brooches
162,Category:Celtic crosses
163,Category:Insular art
164,Category:Hiberno-Saxon manuscripts
165,Category:Bede manuscripts
166,Category:High crosses
167,Category:High crosses by country
168,Category:High crosses in England
169,Category:High crosses in Ireland
170,Category:High crosses in the Republic of Ireland
171,Category:High crosses in Northern Ireland
172,Category:High crosses in Scotland
173,Category:Pictish art
174,Category:Pictish stones
175,Category:Pictish inscriptions
176,Category:Pictish stones in Aberdeenshire
177,Category:Pictish stones in Angus
178,Category:Pictish stones in Highland (council area)
179,Category:Symbols on Pictish stones
180,Category:Iron Age art of Europe
181,Category:Bracteates
182,Category:Germanic art
183,Category:Anglo-Saxon art
184,Category:Anglo-Saxon architecture
185,Category:Standing Anglo-Saxon buildings
186,Category:Standing Anglo-Saxon churches
187,Category:Churches with elements of Anglo-Saxon work
188,Category:Castles in England built before 1066
189,Category:Anglo-Saxon artists
190,Category:Later Anglo-Saxon illuminated manuscripts
191,Category:Carolingian art
192,Category:Carolingian architecture
193,Category:Abbey of Saint Gall
194,Category:Abbots of Saint Gall
195,Category:Abbey library of Saint Gall
196,Category:Manuscripts of the Abbey library of Saint Gall
197,Category:Monks at Saint Gall
198,Category:Carolingian illuminated manuscripts
199,Category:Carolingian psalters
200,Category:Lombard art
201,Category:Lombard architecture
202,Category:Lombard books
203,Category:Lombard sculpture
204,Category:Lombard sculptures
205,Category:Merovingian art
206,Category:Merovingian architecture
207,Category:Ostrogothic art
208,Category:Viking Age art
209,Category:Picture stones
210,Category:Rune- and picture stones on Gotland
211,Category:Runestones
212,Category:Runestones by country
213,Category:Runestones in Denmark
214,Category:Runestones on the Faroe Islands
215,Category:Runestones in Finland
216,Category:Runestones in Germany
217,Category:Runestones in Norway
