artifact_name,transitions,image_link
"Aphrodite, known as the ""Venus de Milo""","{1821: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-aphrodite-dite-venus-milo_0.jpg?1527823809
"The ""Regent"" Diamond","{1887: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-diamant-dit-quotle-regentquot.jpg?1527828413
Frise des archers,"{1885 - 1886: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-frise-des-archers_1.jpg?1527823475
"Horse Restrained by a Groom, called ""Horse of Marly""","{1802: {'lat': 48.8606111, 'lng': 2.337644}}{1739-45: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-cheval-retenu-par-palefrenier.jpg?1527825908
"July 28. Liberty Leading the People (July 28, 1830)","{1983: {'lat': 48.8606111, 'lng': 2.337644}}{1831: Charenton-Saint-Maurice}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-le-28-juillet-la-liberte-guidant-le-peuple-28-juillet-1830.jpg?1527831264
"Code de Hammurabi, roi de Babylone","{1901 - 1902: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-code-hammurabi-roi-babylone_1.jpg?1527822074
Diptych panel in five parts: the Emperor Triumphant (Justinian?),"{1899: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-feuillet-diptyque-cinq-parties.jpg?1527828696
"Portrait of Louis XIV (1638-1715), King of France","{7492: {'lat': 48.8606111, 'lng': 2.337644}}{1701: France}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-louis-xiv-1638-1715.jpg?1527831687
"<i>Portrait of Lisa Gherardini</i>, wife of Francesco del Giocondo, known as the <i>Mona Lisa</i> (the <i>Joconde</i> in French)","{1518: {'lat': 48.8606111, 'lng': 2.337644}}{1519: Vinci}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-de-lisa-gherardini-epouse-de-francesco-del-giocondo-dite-monna-lisa-la-gioconda-ou-la-jocon.jpg?1527831862
Portrait de jeune femme,"{2047: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-jeune-femme.jpg?1527818566
Portrait of the Artist Holding a Thistle,"{}{1528: Nuremberg}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-l039artiste-tenant-chardon.jpg?1527829835
The Cheat with the Ace of Diamonds,"{1972: {'lat': 48.8606111, 'lng': 2.337644}}{About 1635-1638: Seille}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-tricheur_19.jpg?1527831407
"The Coronation of the Emperor Napoleon I and the Crowning of the Empress JosГ©phine in Notre-Dame Cathedral on December 2, 1804","{}{1806-07: Notre-Dame Cathedral}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-sacre-de-l-empereur-napoleon-ier-et-couronnement-de-l-imperatrice-josephine-dans-la-cathedrale-notre_1.jpg?1527830789
The Coronation of the Virgin,"{1812: {'lat': 48.8606111, 'lng': 2.337644}}{1430-32: Florence}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-couronnement-vierge_0.jpg?1527832020
La DentelliГЁre,"{1870: {'lat': 48.8606111, 'lng': 2.337644}}{1675: Delft}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-dentelliere.jpg?1492568576
Le Radeau de la MГ©duse,"{1824: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-radeau-meduse.jpg?1527819819
L'EnlГЁvement des Sabines,"{7290: {'lat': 48.8606111, 'lng': 2.337644}}{1637 - 1638: Les Andelys}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-enlevement-des-sabines.jpg?1527820141
Captive (The Rebellious Slave),"{1794: {'lat': 48.8606111, 'lng': 2.337644}}{1475 - Rome: Caprese}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-captif-quotl039esclave-rebellequot.jpg?1527825002
"Le ""scribe accroupi""","{}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-quotscribe-accroupiquot.jpg?1527819102
Les Noces de Cana,"{}{1563: VГ}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-les-noces-cana.jpg?1527820689
The Winged Victory of Samothrace,"{1863: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-winged-victory-samothrace01.jpg?1426867448
La Grande Odalisque,"{1899: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-une-odalisque-dite-grande.jpg?1527831310
Taureau androcГ©phale ailГ©,"{}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-taureau-androcephale-aile.jpg?1527822538
La Femme au miroir,"{1662: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-femme-miroir.jpg?1527820624
Portrait bust of Nathalie de Laborde (1774-1835),"{1991: {'lat': 48.8606111, 'lng': 2.337644}}{1789: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-natalie-laborde-1774.jpg?1527826181
Deux vases dits <i>sГ©ditieux</i> dissimulant dans leurs contours les profils de Louis XVI et de Marie-Antoinette,"{1996: {'lat': 48.8606111, 'lng': 2.337644}}{sГ: dГ}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-deux-vases-dits-ltigtseditieuxltigt.jpg?1527818026
SecrГ©taire Г  cylindre (cylinder desk),"{1784: {'lat': 48.8606111, 'lng': 2.337644}}{1784: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-secretaire-cylindre.jpg?1527826341
Le Triomphe de la Constitution de 1793,"{2-4 April 1860: {'lat': 48.8606111, 'lng': 2.337644}}{1794: Montpellier}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-le-triomphe-de-la-constitution-de-1793_0.jpg?1527837132
Writing-table with stand,"{1865: {'lat': 48.8606111, 'lng': 2.337644}}{1784: Neuwied}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-table-ecrire-pupitre_1.jpg?1527826708
AthГ©nienne de NapolГ©on Ier,"{1973: {'lat': 48.8606111, 'lng': 2.337644}}{1800 et 1804: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-athenienne-napoleon-ier_0.jpg?1527818083
Cabaret Г©gyptien de NapolГ©on Ier,"{1950: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-cabaret-egyptien-napoleon-ier.jpg?1527818104
Central medallion from the Carpet in the Throne Room at the Palais des Tuileries,"{10284: {'lat': 48.8606111, 'lng': 2.337644}}{1806-10: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-medaillon-central-tapis-salle.jpg?1527828899
"""Vase fuseau"" of Madame MГЁre","{1986: {'lat': 48.8606111, 'lng': 2.337644}}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-vase-quotfuseauquot-madame-mere.jpg?1527828873
"Bonaparte Visiting the Victims of the Plague at Jaffa, March 11, 1799","{5064: {'lat': 48.8606111, 'lng': 2.337644}}{1804: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bonaparte-visitant-les-pestiferes.jpg?1527830633
L'Empereur NapolГ©on Ier se couronnant lui-mГЄme,"{1917: {'lat': 48.8606111, 'lng': 2.337644}}{1805: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l-empereur-napoleon-ier-se-couronnant-lui-meme_0.jpg?1527839812
NapolГ©on en triomphateur,"{3458: {'lat': 48.8606111, 'lng': 2.337644}}{1827: NapolГ}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-napoleon-triomphateur.jpg?1527817183
"Napoleon on the Battlefield at Eylau, February 9, 1807","{5067: {'lat': 48.8606111, 'lng': 2.337644}}{February 9, 1807
1808: the Battlefield at Eylau}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-napoleon-sur-champ-bataille.jpg?1527831577
Necklace and earrings belonging to the empress Marie-Louise,"{2004: {'lat': 48.8606111, 'lng': 2.337644}}{1810: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-collier-boucles-d039oreilles-l039imperatrice.jpg?1527828789
"The Coronation of the Emperor Napoleon I and the Crowning of the Empress JosГ©phine in Notre-Dame Cathedral on December 2, 1804","{}{1806-07: Notre-Dame Cathedral}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-sacre-de-l-empereur-napoleon-ier-et-couronnement-de-l-imperatrice-josephine-dans-la-cathedrale-notre_1.jpg?1527830789
L'ImpГ©ratrice JosГ©phine (1763 - 1814),"{1879: {'lat': 48.8606111, 'lng': 2.337644}}{1805: JosГ}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l039imperatrice-josephine-1763-1814.jpg?1527819905
"The EmpressВ’s Jewelry cabinet, called the ""Grand Ecrin""","{1964: {'lat': 48.8606111, 'lng': 2.337644}}{1809: Paris}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-serre-bijoux-l039imperatrice-dit.jpg?1527828912
"Equestrian Portrait of Pierre SГ©guier (1588-1672), Chancellor of France","{1942: {'lat': 48.8606111, 'lng': 2.337644}}{1588-1672: France}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pierre-seguier-chancelier-france.jpg?1527830773
Captives,"{R.F. 4415: {'lat': 48.8606111, 'lng': 2.337644}}{1694: Breda}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-captifs.jpg?1527825808
Jean de La Fontaine (1621-1695),"{1960: {'lat': 48.8606111, 'lng': 2.337644}}{1785: Haute-Loire}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-jean-fontaine-1621-1695.jpg?1527825510
Jules Hardouin-Mansart (1645-1708),"{}{1645-1708: AcadГ}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-jules-hardouin-mansart-1645_14.jpg?1527825361
"Portrait of Louis XIV (1638-1715), King of France","{7492: {'lat': 48.8606111, 'lng': 2.337644}}{1701: France}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-louis-xiv-1638-1715.jpg?1527831687
Louis XIV,"{}{}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-louis-xiv_4.jpg?1527825871
Pierre Mignard (1612-95),"{}{1612-95: AcadГ}{2019-07-21 00:35:34.415801:{'lat': 48.8606111, 'lng': 2.337644}}",https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-pierre-mignard-1612-1695.jpg?1527826208
