artifact_name,year,lat,lon,image_link
"Aphrodite, known as the ""Venus de Milo""",1821.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-aphrodite-dite-venus-milo_0.jpg?1527823809
"The ""Regent"" Diamond",1887.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-diamant-dit-quotle-regentquot.jpg?1527828413
"Horse Restrained by a Groom, called ""Horse of Marly""",1802.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-cheval-retenu-par-palefrenier.jpg?1527825908
"July 28. Liberty Leading the People (July 28, 1830)",1983.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-le-28-juillet-la-liberte-guidant-le-peuple-28-juillet-1830.jpg?1527831264
Diptych panel in five parts: the Emperor Triumphant (Justinian?),1899.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-feuillet-diptyque-cinq-parties.jpg?1527828696
"Portrait of Louis XIV (1638-1715), King of France",7492.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-louis-xiv-1638-1715.jpg?1527831687
"<i>Portrait of Lisa Gherardini</i>, wife of Francesco del Giocondo, known as the <i>Mona Lisa</i> (the <i>Joconde</i> in French)",1518.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-de-lisa-gherardini-epouse-de-francesco-del-giocondo-dite-monna-lisa-la-gioconda-ou-la-jocon.jpg?1527831862
Portrait de jeune femme,2047.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-jeune-femme.jpg?1527818566
The Cheat with the Ace of Diamonds,1972.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-tricheur_19.jpg?1527831407
The Coronation of the Virgin,1812.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-couronnement-vierge_0.jpg?1527832020
La DentelliГЁre,1870.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-dentelliere.jpg?1492568576
Le Radeau de la MГ©duse,1824.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-radeau-meduse.jpg?1527819819
L'EnlГЁvement des Sabines,7290.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-enlevement-des-sabines.jpg?1527820141
Captive (The Rebellious Slave),1794.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-captif-quotl039esclave-rebellequot.jpg?1527825002
The Winged Victory of Samothrace,1863.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-winged-victory-samothrace01.jpg?1426867448
La Grande Odalisque,1899.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-une-odalisque-dite-grande.jpg?1527831310
La Femme au miroir,1662.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-femme-miroir.jpg?1527820624
Portrait bust of Nathalie de Laborde (1774-1835),1991.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-portrait-natalie-laborde-1774.jpg?1527826181
Deux vases dits <i>sГ©ditieux</i> dissimulant dans leurs contours les profils de Louis XVI et de Marie-Antoinette,1996.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-deux-vases-dits-ltigtseditieuxltigt.jpg?1527818026
SecrГ©taire Г  cylindre (cylinder desk),1784.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-secretaire-cylindre.jpg?1527826341
Writing-table with stand,1865.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-table-ecrire-pupitre_1.jpg?1527826708
AthГ©nienne de NapolГ©on Ier,1973.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-athenienne-napoleon-ier_0.jpg?1527818083
Cabaret Г©gyptien de NapolГ©on Ier,1950.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-cabaret-egyptien-napoleon-ier.jpg?1527818104
"""Vase fuseau"" of Madame MГЁre",1986.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-vase-quotfuseauquot-madame-mere.jpg?1527828873
"Bonaparte Visiting the Victims of the Plague at Jaffa, March 11, 1799",5064.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-bonaparte-visitant-les-pestiferes.jpg?1527830633
L'Empereur NapolГ©on Ier se couronnant lui-mГЄme,1917.0,48.8606111,2.337644,https://www.louvre.fr/sites/default/files/imagecache/140x87/medias/medias_images/images/louvre-l-empereur-napoleon-ier-se-couronnant-lui-meme_0.jpg?1527839812
